base_date,bank_code,bank_name_half_kana,bank_name_kanji,branch_code,branch_name_half_kana,branch_name_kanji
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,001,ｱｶｼﾃﾝ,赤支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,002,ﾀﾞｲﾀﾞｲｼﾃﾝ,橙支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,003,ｷｼﾃﾝ,黄支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,004,ﾐﾄﾞﾘｼﾃﾝ,緑支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,005,ｱｵｼﾃﾝ,青支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,006,ｱｲｼﾃﾝ,藍支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,007,ﾑﾗｻｷｼﾃﾝ,紫支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,008,ｼﾛｼﾃﾝ,白支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,009,ｸﾛｼﾃﾝ,黒支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,010,010ｼﾃﾝ,010支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,011,011ｼﾃﾝ,011支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,012,012ｼﾃﾝ,012支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,013,013ｼﾃﾝ,013支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,014,014ｼﾃﾝ,014支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,015,015ｼﾃﾝ,015支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,016,016ｼﾃﾝ,016支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,017,017ｼﾃﾝ,017支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,018,018ｼﾃﾝ,018支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,019,019ｼﾃﾝ,019支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,020,020ｼﾃﾝ,020支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,021,021ｼﾃﾝ,021支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,022,022ｼﾃﾝ,022支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,023,023ｼﾃﾝ,023支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,024,024ｼﾃﾝ,024支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,025,025ｼﾃﾝ,025支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,026,026ｼﾃﾝ,026支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,027,027ｼﾃﾝ,027支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,028,028ｼﾃﾝ,028支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,029,029ｼﾃﾝ,029支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,030,030ｼﾃﾝ,030支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,031,031ｼﾃﾝ,031支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,032,032ｼﾃﾝ,032支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,033,033ｼﾃﾝ,033支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,034,034ｼﾃﾝ,034支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,035,035ｼﾃﾝ,035支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,036,036ｼﾃﾝ,036支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,037,037ｼﾃﾝ,037支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,038,038ｼﾃﾝ,038支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,039,039ｼﾃﾝ,039支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,040,040ｼﾃﾝ,040支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,041,041ｼﾃﾝ,041支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,042,042ｼﾃﾝ,042支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,043,043ｼﾃﾝ,043支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,044,044ｼﾃﾝ,044支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,045,045ｼﾃﾝ,045支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,046,046ｼﾃﾝ,046支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,047,047ｼﾃﾝ,047支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,048,048ｼﾃﾝ,048支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,049,049ｼﾃﾝ,049支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,050,050ｼﾃﾝ,050支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,051,051ｼﾃﾝ,051支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,052,052ｼﾃﾝ,052支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,053,053ｼﾃﾝ,053支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,054,054ｼﾃﾝ,054支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,055,055ｼﾃﾝ,055支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,056,056ｼﾃﾝ,056支店
2023-05-12,9999,ｴｰﾀﾞﾌﾞﾘｭｰｴｽｷﾞﾝｺｳ,AWS銀行,057,057ｼﾃﾝ,057支店
